text,spam
"Congratulations! You have won a free prize. Click now to claim it.",1
"URGENT: Your account will be suspended. Verify your details immediately.",1
"Win $5000 today! Limited offer, click the link now.",1
"You have been selected for an exclusive cash reward.",1
"Claim your free gift card before the offer expires.",1
"Earn money quickly from home. Register today.",1
"Important security alert. Confirm your password immediately.",1
"Congratulations, you are our lucky winner!",1
"Lowest price guaranteed. Buy now and save 80 percent.",1
"Get a free vacation package by clicking this link.",1
"Hi team, the project meeting is scheduled for tomorrow at 10 AM.",0
"Please find the attached report for your review.",0
"Your leave request has been approved.",0
"The client meeting has been moved to Friday afternoon.",0
"Can you send me the latest version of the presentation?",0
"Thank you for attending the workshop yesterday.",0
"Reminder: submit your assignment before Monday.",0
"The server maintenance is scheduled for this weekend.",0
"Please review the code changes and share your feedback.",0
"Your order has been shipped and will arrive tomorrow.",0
